Destination plate name,Row,Column,Well ID,Plate source,Well Source,Strain,Media Definition
Control strain plate,E,12,Empty,Empty,Empty,Empty,None
Control strain plate,F,1,Empty,Empty,Empty,Empty,None
Control strain plate,F,2,Sample,USDA,,Lab strain,YP+2% glucose
Control strain plate,F,3,Sample,USDA,,Wild strain,YP+2% glucose
Control strain plate,F,4,Sample,Internal source,,Industrial strain,YP+2% glucose
Control strain plate,F,5,Sample,ATCC,,Engineered strain,YP+2% glucose
Control strain plate,F,6,Empty,Empty,Empty,Empty,Empty
Control strain plate,F,7,Sample,USDA,,Lab strain,AFEX+2% glucose
Control strain plate,F,8,Sample,USDA,,Wild strain,AFEX+2% glucose
Control strain plate,F,9,Sample,Internal source,,Industrial strain,AFEX+2% glucose
Control strain plate,F,10,Sample,ATCC,,Engineered strain,AFEX+2% glucose
Control strain plate,F,11,Empty,Empty,Empty,Empty,None
Control strain plate,F,12,Empty,Empty,Empty,Empty,None
Control strain plate,G,1,Empty,Empty,Empty,Empty,None
Control strain plate,G,2,Sample,USDA,,Lab strain,YP+5% glucose
Control strain plate,G,3,Sample,USDA,,Wild strain,YP+5% glucose
Control strain plate,G,4,Sample,Internal source,,Industrial strain,YP+5% glucose
Control strain plate,G,5,Sample,ATCC,,Engineered strain,YP+5% glucose
Control strain plate,G,6,Empty,Empty,Empty,Empty,Empty
Control strain plate,G,7,Sample,USDA,,Lab strain,AFEX+5% glucose
Control strain plate,G,8,Sample,USDA,,Wild strain,AFEX+5% glucose
Control strain plate,G,9,Sample,Internal source,,Industrial strain,AFEX+5% glucose
Control strain plate,G,10,Sample,ATCC,,Engineered strain,AFEX+5% glucose
Control strain plate,G,11,Empty,Empty,Empty,Empty,None
Control strain plate,G,12,Empty,Empty,Empty,Empty,None
Control strain plate,H,1,Empty,Empty,Empty,Empty,None
Control strain plate,H,2,Empty,Empty,Empty,Empty,None
Control strain plate,H,3,Empty,Empty,Empty,Empty,None
Control strain plate,H,4,Empty,Empty,Empty,Empty,None
Control strain plate,H,5,Empty,Empty,Empty,Empty,None
Control strain plate,H,6,Empty,Empty,Empty,Empty,None
Control strain plate,H,7,Empty,Empty,Empty,Empty,None
Control strain plate,H,8,Empty,Empty,Empty,Empty,None
Control strain plate,H,9,Empty,Empty,Empty,Empty,None
Control strain plate,H,10,Empty,Empty,Empty,Empty,None
Control strain plate,H,11,Empty,Empty,Empty,Empty,None
Control strain plate,H,12,Empty,Empty,Empty,Empty,None
