Well positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
70434s,0.0651,0.0745,0.0629,0.0636,0.0642,0.0627,0.0625,0.0651,0.063,0.0667,0.0631,0.0622,0.0609,0.2797,0.3493,0.285,0.2492,0.0944,1.2492,1.443,1.3265,1.3323,0.2333,0.0592,0.0612,0.412,0.4642,0.4438,0.4141,0.0952,1.2966,1.4548,1.3639,1.3438,0.222,0.0645,0.0594,0.6228,0.6562,0.6022,0.6357,0.0976,1.3186,1.4884,1.3925,1.3646,0.223,0.0615,0.0583,0.8544,0.8857,0.8501,0.89,0.0936,1.3647,1.5389,1.4486,1.4263,0.2231,0.0622,0.0623,1.0165,1.2559,1.1717,1.1699,1.2009,1.4224,1.5901,1.5114,1.5018,0.7798,0.06,0.0582,1.2288,1.5405,1.4717,1.4808,0.0928,1.5149,1.6783,1.6186,1.6129,0.2303,0.0612,0.0606,0.0598,0.0595,0.059,0.06,0.0601,0.0591,0.0593,0.0601,0.0587,0.0588,0.058
71074s,0.0649,0.0668,0.0629,0.0636,0.064,0.0627,0.0624,0.0652,0.0629,0.0667,0.0632,0.0623,0.0609,0.28,0.3496,0.2851,0.2497,0.0943,1.2481,1.4421,1.3261,1.3319,0.2333,0.0614,0.0604,0.4121,0.4662,0.4441,0.4149,0.0953,1.2956,1.4521,1.3631,1.3432,0.222,0.0643,0.0596,0.6232,0.657,0.6025,0.6362,0.0977,1.3192,1.4873,1.3926,1.3648,0.2232,0.0617,0.0583,0.8542,0.8855,0.8503,0.8897,0.0935,1.364,1.5383,1.4475,1.4254,0.2231,0.0622,0.0622,1.0166,1.2556,1.1715,1.1699,1.2121,1.422,1.5883,1.51,1.5018,0.8061,0.0603,0.0585,1.2326,1.5414,1.47,1.4804,0.0929,1.5174,1.6764,1.6171,1.611,0.2305,0.0612,0.0607,0.0597,0.0593,0.0589,0.0597,0.0599,0.0591,0.0593,0.0602,0.0587,0.0588,0.0572
71714s,0.0649,0.0746,0.0629,0.0637,0.064,0.0625,0.0627,0.0653,0.0629,0.0669,0.0632,0.0626,0.0609,0.2803,0.3499,0.2857,0.2501,0.0943,1.248,1.4414,1.326,1.3325,0.2331,0.0585,0.0603,0.4123,0.4649,0.4438,0.4149,0.0952,1.2963,1.4544,1.3633,1.3438,0.2219,0.0642,0.0594,0.6232,0.6572,0.6019,0.6358,0.0977,1.3184,1.4877,1.3925,1.3649,0.2231,0.061,0.0587,0.8548,0.886,0.8501,0.8902,0.0934,1.3643,1.5389,1.448,1.4266,0.2231,0.0622,0.0623,1.0172,1.2554,1.1713,1.1698,1.2225,1.422,1.5882,1.5099,1.5017,0.829,0.0594,0.0584,1.2377,1.5408,1.4698,1.4812,0.0926,1.5198,1.6784,1.6163,1.6124,0.2305,0.0612,0.0606,0.0597,0.0592,0.0589,0.0596,0.0599,0.0591,0.0593,0.0607,0.0587,0.0587,0.0573
72355s,0.0648,0.0668,0.0629,0.0636,0.064,0.0629,0.0626,0.0652,0.0628,0.0667,0.063,0.0625,0.0609,0.2802,0.3497,0.2854,0.2501,0.0942,1.2487,1.4427,1.3269,1.3334,0.2334,0.0593,0.0593,0.4122,0.4653,0.4439,0.415,0.0954,1.2963,1.4542,1.3639,1.3444,0.2221,0.0645,0.0595,0.6233,0.6574,0.6025,0.6362,0.0978,1.3187,1.4875,1.3927,1.3649,0.2233,0.0633,0.0593,0.8558,0.886,0.8501,0.8904,0.0935,1.3642,1.5394,1.4478,1.4259,0.2232,0.0621,0.0625,1.018,1.2561,1.1719,1.1701,1.2305,1.4221,1.5887,1.5107,1.5027,0.8534,0.0606,0.0581,1.242,1.5407,1.4707,1.4812,0.0928,1.5225,1.6773,1.6178,1.6128,0.231,0.061,0.0606,0.0598,0.0592,0.0588,0.0598,0.0599,0.0592,0.0593,0.0603,0.0587,0.0587,0.0578
72995s,0.0649,0.0668,0.0627,0.0635,0.0641,0.0627,0.0625,0.0649,0.0628,0.0667,0.0629,0.0625,0.0608,0.281,0.3505,0.2863,0.2508,0.0945,1.2481,1.4418,1.3261,1.3324,0.2334,0.0621,0.0605,0.4129,0.4672,0.4447,0.4156,0.0953,1.296,1.4536,1.3625,1.3435,0.2222,0.0643,0.0593,0.6239,0.6571,0.6021,0.6365,0.0977,1.3178,1.4873,1.392,1.3655,0.2235,0.0631,0.0588,0.8566,0.8861,0.8497,0.8904,0.0935,1.3638,1.5392,1.4476,1.4266,0.2234,0.0621,0.0623,1.0183,1.2563,1.1721,1.171,1.2361,1.4223,1.5896,1.5099,1.5016,0.8759,0.0598,0.0581,1.2458,1.5407,1.4705,1.4815,0.0927,1.5242,1.6778,1.6175,1.6117,0.2311,0.0611,0.0607,0.0598,0.0593,0.0588,0.0597,0.06,0.0591,0.0594,0.0607,0.0586,0.0587,0.0577
73635s,0.0652,0.0667,0.0629,0.0636,0.0638,0.0625,0.0625,0.065,0.0629,0.0667,0.0628,0.0622,0.0608,0.2811,0.3505,0.2864,0.2512,0.0945,1.2485,1.4428,1.3273,1.3335,0.2333,0.0618,0.06,0.4129,0.4675,0.4449,0.4161,0.0953,1.2962,1.4534,1.3639,1.3446,0.2223,0.0644,0.0595,0.6243,0.6572,0.6023,0.6374,0.0976,1.3183,1.4886,1.393,1.3661,0.2236,0.0617,0.0585,0.8561,0.8863,0.8502,0.8906,0.0935,1.3643,1.5395,1.4477,1.4269,0.2235,0.0619,0.0624,1.0193,1.257,1.1719,1.1713,1.2418,1.4233,1.589,1.509,1.5028,0.9009,0.0599,0.0581,1.25,1.5409,1.4714,1.4832,0.093,1.5271,1.6786,1.6181,1.6141,0.2311,0.061,0.0607,0.0598,0.0593,0.059,0.0596,0.06,0.0591,0.0593,0.0607,0.0586,0.0587,0.058
74275s,0.065,0.0742,0.0627,0.0636,0.064,0.0627,0.0624,0.0653,0.063,0.0669,0.0629,0.0623,0.0609,0.2814,0.3508,0.2869,0.2513,0.0945,1.2484,1.442,1.3274,1.3338,0.2333,0.0627,0.0625,0.413,0.4672,0.4449,0.4162,0.0954,1.2964,1.4534,1.3633,1.345,0.2223,0.0643,0.0592,0.6244,0.6577,0.6025,0.6381,0.0977,1.3175,1.4887,1.3929,1.366,0.2236,0.0617,0.0594,0.8571,0.8864,0.8504,0.8908,0.0936,1.3647,1.5394,1.4484,1.4276,0.2234,0.0618,0.0623,1.0195,1.2566,1.1722,1.1713,1.2464,1.4221,1.5896,1.51,1.503,0.9237,0.0631,0.0587,1.2533,1.5413,1.4692,1.4809,0.0928,1.5283,1.6789,1.6178,1.6125,0.2314,0.061,0.0605,0.0598,0.0594,0.059,0.0595,0.0599,0.0591,0.0593,0.0609,0.0585,0.0586,0.0582
74915s,0.0648,0.0747,0.0629,0.0635,0.0641,0.0627,0.0624,0.0651,0.0626,0.0667,0.0631,0.0625,0.0609,0.2823,0.3516,0.2875,0.2522,0.0949,1.2486,1.4423,1.3275,1.3341,0.2335,0.06,0.0609,0.4132,0.4678,0.4455,0.4164,0.0955,1.296,1.4547,1.3637,1.3449,0.2225,0.0645,0.0594,0.6248,0.6569,0.6024,0.6388,0.0977,1.3182,1.4892,1.3937,1.3668,0.2237,0.0621,0.059,0.858,0.8866,0.8501,0.8914,0.0936,1.3639,1.5394,1.4486,1.4275,0.2235,0.0621,0.0626,1.0198,1.2568,1.1716,1.1715,1.2503,1.423,1.5906,1.5098,1.5029,0.9492,0.0602,0.0592,1.2568,1.5421,1.4705,1.4835,0.0929,1.5301,1.6791,1.6167,1.6131,0.2315,0.061,0.0609,0.06,0.0595,0.0589,0.0597,0.0602,0.0593,0.0592,0.0598,0.0586,0.0588,0.0586
75556s,0.0652,0.0672,0.0628,0.0636,0.064,0.0628,0.0626,0.0651,0.063,0.0667,0.0632,0.0624,0.061,0.282,0.3511,0.2875,0.252,0.0948,1.249,1.4427,1.3281,1.3341,0.2335,0.0594,0.0614,0.4128,0.4667,0.445,0.4163,0.0954,1.2963,1.4547,1.3642,1.3451,0.2225,0.0648,0.0593,0.6248,0.6579,0.6028,0.6384,0.0979,1.3176,1.4891,1.3923,1.3671,0.2238,0.0617,0.0591,0.8584,0.8867,0.8495,0.8916,0.0937,1.3629,1.5396,1.447,1.4274,0.2236,0.0623,0.0625,1.0202,1.2568,1.1715,1.1713,1.2537,1.4223,1.5879,1.5088,1.5031,0.9736,0.06,0.0594,1.2605,1.5414,1.4707,1.4825,0.0929,1.5307,1.679,1.6181,1.6129,0.2315,0.0611,0.0606,0.0598,0.0595,0.059,0.0597,0.0599,0.0592,0.0592,0.0596,0.0586,0.0587,0.0574
76196s,0.0651,0.0669,0.0629,0.0636,0.0642,0.0626,0.0623,0.065,0.0627,0.0666,0.0629,0.0623,0.0608,0.2821,0.3513,0.2873,0.2519,0.0947,1.249,1.4431,1.328,1.3353,0.2335,0.0594,0.0608,0.4135,0.4671,0.445,0.4166,0.0954,1.2961,1.4548,1.3645,1.3451,0.2226,0.0645,0.0594,0.6248,0.6584,0.6035,0.639,0.0978,1.318,1.4886,1.393,1.3673,0.224,0.063,0.0605,0.859,0.8866,0.8504,0.8916,0.0937,1.3632,1.5395,1.4479,1.4279,0.2237,0.0621,0.0623,1.0209,1.2575,1.1721,1.1722,1.2565,1.423,1.5906,1.5093,1.5035,0.9957,0.0607,0.0581,1.2629,1.5411,1.4702,1.4838,0.0929,1.5325,1.679,1.6175,1.613,0.2316,0.0609,0.0606,0.0598,0.0595,0.0589,0.0596,0.0599,0.0592,0.0593,0.06,0.0585,0.0586,0.0573
76836s,0.0652,0.0748,0.0629,0.0634,0.0641,0.0625,0.0626,0.0652,0.0628,0.0666,0.063,0.0623,0.0609,0.2828,0.3514,0.288,0.2527,0.0948,1.2486,1.4421,1.3274,1.3347,0.2335,0.0599,0.0604,0.4133,0.4667,0.4453,0.4167,0.0954,1.2958,1.4545,1.3645,1.3462,0.2225,0.0644,0.0594,0.6255,0.6584,0.603,0.639,0.0979,1.3179,1.4883,1.3927,1.3666,0.2239,0.0626,0.0581,0.8589,0.8867,0.85,0.8907,0.0939,1.362,1.5398,1.4478,1.427,0.2239,0.0618,0.0625,1.0214,1.2576,1.1721,1.1718,1.258,1.4221,1.5887,1.5087,1.5033,1.021,0.0615,0.0582,1.2648,1.5409,1.4695,1.4843,0.093,1.5335,1.6797,1.6167,1.6137,0.2319,0.061,0.0606,0.0599,0.0596,0.0589,0.0596,0.0599,0.0591,0.0593,0.0594,0.0586,0.0585,0.0576
77476s,0.0649,0.0674,0.0631,0.0636,0.0642,0.0627,0.0627,0.0652,0.0629,0.0669,0.0631,0.0623,0.061,0.2827,0.3515,0.2881,0.2529,0.0949,1.249,1.4424,1.3279,1.3355,0.2336,0.0616,0.0608,0.4136,0.4681,0.4459,0.4173,0.0956,1.2964,1.4538,1.3637,1.3452,0.2228,0.0645,0.0595,0.626,0.6587,0.6034,0.6396,0.0979,1.3172,1.4886,1.3925,1.3669,0.2242,0.0616,0.0586,0.8595,0.887,0.85,0.8916,0.0938,1.363,1.5393,1.4475,1.4268,0.2239,0.0621,0.0624,1.0214,1.2575,1.1717,1.1725,1.2598,1.4215,1.5888,1.5088,1.5035,1.0461,0.0601,0.0584,1.2667,1.5411,1.47,1.4836,0.0931,1.5333,1.6788,1.6166,1.6125,0.2321,0.0611,0.0607,0.0599,0.0595,0.0589,0.0598,0.0599,0.0592,0.0594,0.0607,0.0587,0.0587,0.0578
78117s,0.0649,0.0749,0.0628,0.0635,0.064,0.0626,0.0624,0.0651,0.063,0.0667,0.0629,0.0624,0.061,0.283,0.3517,0.2882,0.253,0.0949,1.2485,1.4428,1.3278,1.335,0.2334,0.0577,0.0603,0.4138,0.4683,0.4464,0.4175,0.0954,1.2962,1.4535,1.3647,1.3454,0.2228,0.0642,0.0591,0.6259,0.6583,0.6034,0.6403,0.0979,1.3172,1.4884,1.393,1.3673,0.2241,0.0617,0.0586,0.8608,0.8867,0.8497,0.8918,0.0937,1.3627,1.5398,1.4476,1.4275,0.2239,0.0618,0.0622,1.0221,1.2575,1.1716,1.1728,1.2613,1.422,1.5896,1.5085,1.5039,1.0708,0.0595,0.0579,1.2681,1.5411,1.4695,1.4837,0.093,1.5343,1.6791,1.6161,1.6129,0.2319,0.0608,0.0606,0.0597,0.0594,0.0588,0.0596,0.0599,0.0591,0.0593,0.0603,0.0586,0.0585,0.0581
78757s,0.0649,0.0671,0.0628,0.0636,0.0642,0.0626,0.0627,0.0649,0.0628,0.0667,0.0629,0.0625,0.061,0.2835,0.352,0.2881,0.2533,0.0951,1.2489,1.4421,1.3282,1.3356,0.2333,0.0616,0.0611,0.414,0.4688,0.4461,0.4177,0.0956,1.2954,1.4536,1.3649,1.3468,0.223,0.0643,0.0591,0.6263,0.6588,0.6035,0.6397,0.0979,1.3173,1.4882,1.3925,1.3673,0.2242,0.0617,0.0587,0.8607,0.8868,0.8497,0.8924,0.0937,1.3629,1.5397,1.4477,1.4281,0.2239,0.0617,0.0625,1.0222,1.2571,1.1723,1.1729,1.2629,1.4213,1.5884,1.5087,1.5047,1.0942,0.0593,0.0579,1.2711,1.5411,1.4708,1.4835,0.093,1.5353,1.6785,1.6166,1.6137,0.2321,0.0607,0.0606,0.0597,0.0594,0.0588,0.0596,0.0599,0.0591,0.0593,0.0614,0.0587,0.0586,0.0574
79397s,0.0652,0.0747,0.0629,0.0635,0.0638,0.0626,0.0626,0.065,0.0629,0.0667,0.0631,0.063,0.0608,0.2833,0.352,0.2881,0.2533,0.0951,1.2488,1.4424,1.3286,1.3362,0.2333,0.0592,0.0602,0.4139,0.4686,0.4464,0.4178,0.0955,1.2952,1.4549,1.3647,1.3459,0.2229,0.0644,0.0595,0.6261,0.6582,0.6042,0.6404,0.0979,1.3178,1.4886,1.393,1.3676,0.2242,0.062,0.0594,0.8615,0.8868,0.8499,0.893,0.0939,1.3628,1.5399,1.4474,1.4288,0.2241,0.0618,0.0624,1.0222,1.2571,1.1718,1.1729,1.2629,1.4213,1.5896,1.5079,1.5039,1.1196,0.0605,0.0583,1.2718,1.5412,1.4696,1.4833,0.093,1.536,1.6777,1.6155,1.6128,0.2322,0.0606,0.0607,0.0597,0.0594,0.0588,0.0595,0.0598,0.0591,0.0593,0.0599,0.0586,0.0587,0.0571
80037s,0.0655,0.075,0.063,0.0634,0.064,0.0628,0.0624,0.065,0.0627,0.0668,0.063,0.0625,0.061,0.284,0.3521,0.2889,0.2537,0.0952,1.2494,1.4421,1.3286,1.3367,0.2332,0.065,0.0615,0.4144,0.4693,0.4471,0.4185,0.0956,1.2962,1.4541,1.3651,1.3466,0.2232,0.0643,0.0595,0.626,0.6586,0.604,0.6401,0.098,1.3173,1.4888,1.3941,1.3687,0.2243,0.0644,0.0599,0.8615,0.8869,0.8499,0.8931,0.0938,1.3628,1.5404,1.4482,1.4288,0.2243,0.0615,0.0624,1.0232,1.2579,1.1727,1.1739,1.2654,1.421,1.5907,1.5083,1.5052,1.1443,0.0601,0.059,1.2741,1.5424,1.47,1.4844,0.0932,1.5373,1.681,1.6164,1.6145,0.2322,0.0606,0.0607,0.0599,0.0595,0.0589,0.0597,0.0601,0.0592,0.0594,0.0606,0.0586,0.0585,0.0577
80677s,0.0658,0.0706,0.063,0.0639,0.064,0.0628,0.0624,0.0655,0.0629,0.0676,0.0631,0.0627,0.0611,0.2841,0.3522,0.2891,0.2538,0.0954,1.2492,1.4424,1.3294,1.3365,0.2333,0.0591,0.0611,0.4145,0.4697,0.4472,0.4184,0.0956,1.2957,1.4538,1.3651,1.347,0.2232,0.0644,0.0595,0.6267,0.6586,0.604,0.6408,0.0981,1.3172,1.4893,1.3931,1.3681,0.2245,0.0611,0.0587,0.8622,0.8869,0.8498,0.8932,0.094,1.362,1.5402,1.448,1.4286,0.2244,0.0619,0.0625,1.023,1.2572,1.1729,1.1734,1.2657,1.4201,1.5904,1.5076,1.5042,1.1692,0.0598,0.059,1.275,1.5417,1.4696,1.4834,0.0932,1.5367,1.678,1.6172,1.6133,0.2324,0.0608,0.0608,0.0598,0.0597,0.0589,0.0597,0.06,0.0593,0.0594,0.0596,0.0586,0.0587,0.0573
81318s,0.065,0.0668,0.0628,0.0636,0.0639,0.0627,0.0624,0.0651,0.0627,0.0668,0.063,0.0625,0.0611,0.2848,0.3531,0.2899,0.2546,0.0954,1.2486,1.4416,1.3287,1.3366,0.2331,0.0629,0.061,0.4148,0.4701,0.4475,0.4191,0.0955,1.2954,1.4537,1.3648,1.3469,0.2232,0.0642,0.0592,0.6267,0.6588,0.6042,0.6419,0.098,1.3173,1.4889,1.394,1.3686,0.2245,0.0606,0.059,0.8622,0.8869,0.8497,0.8934,0.0938,1.3618,1.5394,1.4478,1.4285,0.2245,0.0617,0.0626,1.0235,1.2572,1.1727,1.1736,1.2664,1.4199,1.5884,1.5076,1.5039,1.192,0.0621,0.0582,1.276,1.5424,1.4694,1.4841,0.0931,1.5367,1.6791,1.6158,1.613,0.2324,0.0606,0.0606,0.0597,0.0596,0.0588,0.0595,0.0599,0.0593,0.0592,0.0603,0.0585,0.0586,0.0574
81958s,0.065,0.0748,0.0628,0.0635,0.0639,0.0625,0.0624,0.0648,0.0628,0.0665,0.063,0.0626,0.061,0.2849,0.3531,0.29,0.2549,0.0956,1.2491,1.4425,1.3288,1.3375,0.2333,0.0611,0.0608,0.4146,0.4687,0.4472,0.419,0.0956,1.2967,1.4546,1.3664,1.3483,0.2233,0.0643,0.0594,0.6271,0.6591,0.6045,0.6419,0.098,1.3178,1.49,1.3947,1.3695,0.2247,0.0615,0.0622,0.863,0.8873,0.8502,0.8941,0.0938,1.3621,1.5405,1.4482,1.4297,0.2246,0.0617,0.0625,1.0245,1.2578,1.173,1.1741,1.2677,1.4198,1.5902,1.5087,1.5048,1.2161,0.0605,0.0581,1.2781,1.5423,1.4708,1.485,0.0932,1.5389,1.6802,1.6164,1.615,0.2327,0.0606,0.0606,0.0597,0.0595,0.0589,0.0595,0.0598,0.0591,0.0593,0.0603,0.0585,0.0585,0.057
82598s,0.065,0.067,0.063,0.0638,0.0641,0.0626,0.0626,0.0651,0.0628,0.0668,0.0634,0.0627,0.061,0.2849,0.3529,0.2901,0.2548,0.0956,1.2497,1.4429,1.3301,1.3375,0.2332,0.0588,0.0611,0.4144,0.4694,0.4471,0.4194,0.0956,1.2966,1.4545,1.3661,1.3486,0.2234,0.0644,0.0595,0.6269,0.6603,0.6048,0.6422,0.0981,1.3169,1.4891,1.3944,1.3692,0.2249,0.0622,0.0582,0.8633,0.8873,0.8502,0.8938,0.0941,1.3614,1.5402,1.4479,1.429,0.2247,0.0618,0.0624,1.0248,1.2583,1.1738,1.1751,1.2672,1.4206,1.5901,1.5077,1.5053,1.238,0.0594,0.0586,1.2786,1.5419,1.4704,1.486,0.0932,1.5394,1.6796,1.6165,1.6133,0.2326,0.0607,0.0608,0.0597,0.0595,0.0591,0.0597,0.06,0.0592,0.0594,0.0606,0.0586,0.0586,0.0577
83238s,0.065,0.0672,0.0631,0.0636,0.064,0.0627,0.0627,0.0651,0.063,0.0669,0.0636,0.0628,0.0609,0.2855,0.3533,0.2903,0.2553,0.0957,1.2495,1.4426,1.3299,1.338,0.2331,0.0603,0.0612,0.4148,0.4695,0.4478,0.4196,0.0957,1.2958,1.4548,1.3664,1.3482,0.2235,0.0642,0.0594,0.6275,0.6599,0.6055,0.6428,0.0981,1.3169,1.4886,1.3948,1.3691,0.225,0.0625,0.0584,0.8642,0.8876,0.8501,0.8944,0.0941,1.3618,1.5395,1.4484,1.43,0.2247,0.0618,0.0626,1.0253,1.258,1.1739,1.1751,1.2676,1.4201,1.5897,1.5085,1.5055,1.2615,0.0621,0.0583,1.2793,1.5422,1.4694,1.4843,0.0936,1.539,1.6798,1.6152,1.6132,0.2328,0.0606,0.0608,0.0598,0.0595,0.059,0.0597,0.0601,0.0592,0.0594,0.0602,0.0588,0.0587,0.0581
83879s,0.0648,0.0671,0.0631,0.0639,0.0641,0.0628,0.0626,0.065,0.0627,0.0667,0.0632,0.0625,0.061,0.2856,0.3536,0.2908,0.2554,0.0957,1.249,1.442,1.3296,1.3383,0.2331,0.0617,0.0602,0.4151,0.4703,0.4482,0.4195,0.0959,1.2958,1.4552,1.3665,1.3483,0.2236,0.0643,0.0594,0.6278,0.6599,0.6052,0.6427,0.0982,1.3165,1.4897,1.3942,1.3691,0.225,0.06,0.0585,0.8644,0.8875,0.8499,0.8946,0.094,1.3612,1.5399,1.4476,1.4297,0.2248,0.0616,0.0626,1.0249,1.2578,1.1729,1.175,1.2681,1.4196,1.5895,1.5076,1.505,1.2814,0.06,0.0584,1.28,1.5423,1.4689,1.4849,0.0935,1.5391,1.6798,1.6161,1.6137,0.2328,0.0608,0.0608,0.0596,0.0596,0.0589,0.0597,0.0599,0.059,0.0594,0.0599,0.0587,0.0585,0.0577
84519s,0.0655,0.075,0.063,0.0637,0.064,0.0625,0.0624,0.0652,0.0629,0.0668,0.0631,0.0627,0.0611,0.2857,0.3536,0.2908,0.2556,0.0958,1.2492,1.4426,1.3295,1.3379,0.2331,0.063,0.0611,0.4152,0.4707,0.448,0.4197,0.0958,1.2957,1.4538,1.3666,1.3487,0.2236,0.0642,0.0593,0.628,0.6592,0.6051,0.6431,0.098,1.3169,1.4897,1.3948,1.3693,0.225,0.06,0.0582,0.8645,0.8878,0.8503,0.8949,0.094,1.3608,1.5394,1.448,1.4298,0.225,0.0616,0.0625,1.0255,1.2579,1.1729,1.175,1.2685,1.4187,1.5882,1.5069,1.5053,1.3019,0.0606,0.0587,1.2805,1.5411,1.4695,1.4851,0.0935,1.5385,1.6798,1.6151,1.6127,0.2327,0.0607,0.0607,0.0598,0.0595,0.0588,0.0596,0.06,0.0591,0.0592,0.0602,0.0587,0.0585,0.0569
85159s,0.0647,0.075,0.0629,0.0635,0.0642,0.0625,0.0627,0.065,0.0628,0.0666,0.0627,0.0624,0.0611,0.2861,0.354,0.2915,0.2563,0.0958,1.249,1.4417,1.3309,1.338,0.2332,0.0638,0.0622,0.4152,0.4702,0.448,0.4198,0.0958,1.296,1.4541,1.3673,1.3491,0.2238,0.0644,0.059,0.628,0.66,0.605,0.643,0.0982,1.3166,1.4893,1.3947,1.3691,0.2253,0.0637,0.0589,0.8653,0.888,0.8503,0.8948,0.0941,1.3611,1.5408,1.4484,1.4305,0.2252,0.0614,0.0627,1.0259,1.2581,1.1737,1.175,1.2686,1.4191,1.5891,1.5077,1.5053,1.3231,0.0609,0.0583,1.2809,1.5417,1.4704,1.4855,0.0937,1.5385,1.6788,1.6149,1.6131,0.233,0.0606,0.0609,0.06,0.0595,0.059,0.0597,0.06,0.0592,0.0593,0.0597,0.0586,0.0585,0.058
85799s,0.0655,0.0671,0.0632,0.0638,0.0641,0.0629,0.0625,0.0653,0.0631,0.0667,0.063,0.0627,0.061,0.2862,0.3541,0.2914,0.2565,0.0959,1.2495,1.4424,1.3307,1.3389,0.233,0.0592,0.061,0.4148,0.4694,0.4481,0.4195,0.0958,1.2963,1.4548,1.3669,1.349,0.2238,0.0642,0.0592,0.6278,0.6598,0.6047,0.6435,0.0981,1.3169,1.489,1.395,1.3695,0.2253,0.0612,0.0597,0.8651,0.888,0.8498,0.895,0.094,1.3606,1.5396,1.448,1.4295,0.2252,0.0616,0.0625,1.026,1.2581,1.1742,1.1753,1.2687,1.4182,1.5893,1.5073,1.5055,1.3417,0.0608,0.0581,1.2814,1.5418,1.4701,1.4863,0.0938,1.5394,1.6789,1.6147,1.6138,0.2332,0.0605,0.0608,0.0598,0.0595,0.059,0.0595,0.0598,0.0591,0.0593,0.0643,0.0586,0.0585,0.0576
Date of measurement: 2010-02-24/Time of measurement: 13:30:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YeastOD595growth30degreesMultireadNoshake_HTMPSversion.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\Public\Documents\Tecan\Magellan\mth\YeastOD595growth30degreesMultireadNoshake_HTMPSversion.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24022010-SG_Glctests_YPD-AFEXNo1.wsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\Public\Documents\Tecan\Magellan\wsp\24022010-SG_Glctests_YPD-AFEXNo1.wsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinite 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument serial number: ##########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Description: [NUN96ft] - Nunclon 96 Flat Transparent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate with Cover: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcode: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
